patch size,t4,t5,t6
48,0.9400292866852303,0.9168814650361257,0.9037203342869535
45,0.9376878492974834,0.9142083142228915,0.9008489530891491
42,0.9351529901126954,0.911436785556074,0.8979039747862144
39,0.9323868557388845,0.9085682453163033,0.8949007947052332
36,0.9293548224273364,0.9056015743309136,0.8918636120639286
33,0.926032994678072,0.9025537647712799,0.8888480651398676
30,0.9224040786247952,0.8994895984761049,0.8859505977863161
27,0.9184715329494505,0.8965474974177434,0.8833523269845827
24,0.9142812322686741,0.8939503640649524,0.8813007190477683
21,0.9098923287549681,0.891965730906946,0.8800835734424223
18,0.9052937366362799,0.8908315382674931,0.8799338813387417
15,0.8999104102350131,0.8900104419640061,0.8802616181588961
12,0.8927452811754183,0.8872776264647495,0.8785746965571509
9,0.8854482433898269,0.8831264778255512,0.8753915219661047
