,disco_35_0,disco_35_1,disco_35_2,ssim_35_0,ssim_35_1,ssim_35_2,pearson_35_0,pearson_35_1,pearson_35_2,psnr_35_0,psnr_35_1,psnr_35_2,hicrep_34_0,hicrep_34_1,hicrep_34_2
0,0.88092,0.84365,0.86074,0.92203,0.87975,0.82493,0.95458,0.91852,0.90534,31.948,32.98534,31.36541,0.68129,0.58618,0.59054
1,0.88088,0.84743,0.86518,0.92459,0.88039,0.83024,0.95612,0.92236,0.90824,32.03413,32.81863,31.51386,0.70178,0.59763,0.62035
2,0.88267,0.8545,0.86923,0.92811,0.88539,0.84238,0.95719,0.92454,0.91431,32.46381,33.14197,31.80071,0.74701,0.62452,0.64753
3,0.88285,0.85984,0.87096,0.92823,0.88725,0.85696,0.95744,0.92468,0.91907,32.35967,33.3653,32.40995,0.74215,0.63291,0.66316
4,0.88704,0.86823,0.86824,0.93034,0.89106,0.81098,0.95791,0.9241,0.90772,32.81884,33.9649,30.71758,0.764,0.67447,0.6679
5,0.88719,0.8732,0.87047,0.93093,0.89318,0.83655,0.95848,0.92511,0.91419,32.84918,34.24385,31.58168,0.76378,0.70103,0.66655
6,0.88761,0.87075,0.87135,0.9319,0.89405,0.83162,0.95882,0.92664,0.91492,32.91581,34.12331,31.37628,0.76941,0.68945,0.67377
7,0.8864,0.86833,0.87296,0.93149,0.89479,0.85894,0.95885,0.92858,0.92073,32.71071,33.87466,32.44168,0.76517,0.6834,0.67352
8,0.88945,0.87298,0.87215,0.93167,0.89312,0.81693,0.95932,0.92604,0.91205,32.969,34.19247,30.79686,0.77515,0.70534,0.67099
9,0.88982,0.87743,0.87579,0.93408,0.89689,0.86536,0.95981,0.92791,0.92415,33.14729,34.41663,32.65656,0.78834,0.71702,0.68899
10,0.88982,0.87629,0.87311,0.93425,0.8978,0.84375,0.96026,0.92847,0.91946,33.1534,34.41982,31.65481,0.78773,0.71628,0.67964
11,0.88869,0.87688,0.87653,0.93358,0.89916,0.85304,0.95973,0.92914,0.92189,33.01867,34.42187,32.04978,0.78144,0.7167,0.68001
12,0.89222,0.87982,0.87526,0.93414,0.89593,0.84218,0.96099,0.92794,0.92061,33.20004,34.50879,31.54262,0.79639,0.73076,0.6653
13,0.89146,0.87742,0.87894,0.93522,0.89921,0.85789,0.96077,0.92924,0.92457,33.18912,34.45481,32.25198,0.78794,0.71758,0.69454
14,0.89107,0.87889,0.87671,0.93513,0.8997,0.86605,0.96031,0.92948,0.92651,33.18037,34.49994,32.61069,0.79161,0.71929,0.68828
15,0.89164,0.87961,0.87536,0.93545,0.90071,0.85286,0.96081,0.9297,0.92396,33.23107,34.5854,31.99613,0.79229,0.72577,0.68376
16,0.89178,0.88015,0.87731,0.93611,0.90121,0.86417,0.96115,0.93006,0.92638,33.23538,34.62338,32.49186,0.79803,0.73382,0.67271
17,0.89124,0.88138,0.87801,0.93534,0.89993,0.86303,0.96079,0.93004,0.92579,33.18352,34.56227,32.47009,0.79154,0.7297,0.67752
18,0.89324,0.88218,0.87776,0.93649,0.90189,0.87597,0.96173,0.93092,0.92955,33.32634,34.71447,33.10455,0.80112,0.73517,0.69387
19,0.89344,0.88263,0.87741,0.93633,0.90062,0.86954,0.96186,0.93083,0.92835,33.34007,34.6632,32.73023,0.80422,0.73797,0.68441
20,0.89317,0.88122,0.8755,0.93594,0.90078,0.85999,0.9619,0.93078,0.92599,33.28273,34.64342,32.29426,0.80082,0.73237,0.67899
21,0.89371,0.88212,0.87711,0.93685,0.90019,0.87037,0.96177,0.93054,0.92886,33.36647,34.6341,32.76685,0.80643,0.74187,0.6903
22,0.89318,0.88031,0.87981,0.93671,0.90104,0.86026,0.96199,0.93127,0.92677,33.30954,34.57165,32.28347,0.80402,0.72386,0.69054
23,0.89293,0.88227,0.87767,0.93709,0.90359,0.87456,0.9615,0.93221,0.92944,33.29952,34.68301,32.95149,0.80146,0.7364,0.68704
24,0.89488,0.8827,0.87601,0.93694,0.89974,0.864,0.96239,0.931,0.92774,33.3594,34.62477,32.4123,0.80786,0.73922,0.68777
25,0.89495,0.88357,0.87833,0.93783,0.90452,0.87845,0.96225,0.93274,0.93072,33.40156,34.77957,33.14897,0.81258,0.74567,0.69279
26,0.89406,0.88281,0.87802,0.9377,0.90441,0.8754,0.96194,0.9325,0.92946,33.36174,34.74895,33.01188,0.80785,0.73562,0.69391
27,0.89488,0.88413,0.87873,0.93766,0.90395,0.87729,0.96193,0.93176,0.93037,33.38728,34.82811,33.09888,0.81355,0.7491,0.68499
28,0.89502,0.88348,0.88073,0.93815,0.90425,0.87239,0.96234,0.93256,0.92956,33.37663,34.74391,32.86006,0.8095,0.73776,0.68678
29,0.89504,0.88356,0.87681,0.93751,0.90243,0.86998,0.96238,0.93197,0.92881,33.35952,34.73494,32.71248,0.81179,0.74391,0.68266
30,0.89465,0.88292,0.8753,0.93858,0.9052,0.87893,0.96254,0.93308,0.93049,33.44806,34.84494,33.19212,0.81264,0.73881,0.68315
31,0.89515,0.88393,0.87798,0.93802,0.90336,0.88037,0.96232,0.93223,0.93113,33.4287,34.80433,33.24273,0.81424,0.74991,0.69814
32,0.89484,0.88361,0.8793,0.93799,0.90371,0.87638,0.96241,0.93207,0.93012,33.40485,34.78551,33.03623,0.80831,0.73801,0.69534
33,0.89457,0.88373,0.87679,0.93769,0.90354,0.86988,0.96256,0.93227,0.92879,33.38686,34.77515,32.7091,0.80777,0.74025,0.67245
34,0.89526,0.88444,0.878,0.93811,0.90323,0.87228,0.96255,0.93174,0.9294,33.41527,34.78582,32.81192,0.81662,0.74722,0.69009
35,0.89596,0.88356,0.87983,0.93814,0.90152,0.85918,0.96278,0.93172,0.92698,33.43651,34.70387,32.30461,0.81687,0.74845,0.66207
36,0.89671,0.88548,0.87994,0.93835,0.90443,0.87685,0.96314,0.93309,0.93125,33.41343,34.7958,33.01369,0.81975,0.75086,0.69944
37,0.8958,0.88355,0.87807,0.93835,0.90294,0.88036,0.96275,0.9322,0.93187,33.39452,34.75896,33.21638,0.81737,0.736,0.68689
38,0.89666,0.88487,0.8792,0.93886,0.90452,0.88102,0.96309,0.93263,0.9317,33.48577,34.81247,33.21255,0.82101,0.75221,0.69059
39,0.89615,0.88465,0.87969,0.93881,0.90417,0.87574,0.96304,0.93261,0.93053,33.4443,34.80836,32.92672,0.82026,0.75532,0.68646
40,0.89639,0.88503,0.87745,0.93909,0.90384,0.87476,0.96323,0.93297,0.93113,33.47323,34.75899,32.90213,0.82267,0.74671,0.67137
41,0.89435,0.88066,0.88058,0.93867,0.90423,0.87198,0.96271,0.93295,0.92979,33.39769,34.64338,32.77823,0.81587,0.73138,0.68216
42,0.8956,0.88432,0.88021,0.93893,0.90589,0.88585,0.96316,0.93391,0.93301,33.41238,34.83432,33.46501,0.8176,0.74969,0.70029
43,0.89629,0.88532,0.87941,0.93897,0.90535,0.88232,0.96306,0.9335,0.93218,33.43677,34.81541,33.25893,0.82196,0.7483,0.68354
44,0.89583,0.88506,0.87825,0.93909,0.9065,0.87866,0.9629,0.93384,0.93109,33.44492,34.86237,33.15513,0.81722,0.74151,0.6742
45,0.89558,0.88481,0.87834,0.93946,0.90743,0.88487,0.96314,0.93453,0.93294,33.42627,34.89509,33.41045,0.82236,0.74901,0.68951
46,0.89518,0.88425,0.87846,0.93894,0.90573,0.88515,0.96306,0.9337,0.93232,33.40429,34.78765,33.44693,0.81083,0.72519,0.67856
47,0.89544,0.8845,0.87872,0.9386,0.90376,0.88085,0.9628,0.93263,0.93116,33.45071,34.79678,33.20831,0.81734,0.74837,0.6963
48,0.89607,0.88558,0.87889,0.93877,0.90486,0.87725,0.96317,0.93337,0.93146,33.42844,34.83694,33.02514,0.81533,0.74433,0.66993
49,0.89625,0.88552,0.88002,0.93931,0.90645,0.88457,0.96316,0.93436,0.93265,33.45979,34.8643,33.39051,0.81983,0.74509,0.69273
50,0.89619,0.88511,0.87862,0.93955,0.90652,0.88301,0.96326,0.93413,0.9326,33.46428,34.84408,33.2864,0.81742,0.74194,0.67599
51,0.89539,0.88392,0.8781,0.93889,0.90589,0.87292,0.96325,0.93387,0.93048,33.40095,34.7865,32.77242,0.81395,0.73412,0.6589
52,0.89512,0.8857,0.88063,0.93914,0.90624,0.87911,0.9631,0.93382,0.9315,33.44772,34.8521,33.07201,0.81512,0.74527,0.67954
53,0.89609,0.88605,0.87794,0.93944,0.90582,0.87969,0.96318,0.93413,0.93225,33.43525,34.80429,33.07095,0.82445,0.74526,0.66974
54,0.896,0.88621,0.88104,0.94023,0.90728,0.88383,0.96336,0.9346,0.93288,33.53548,34.89443,33.33902,0.82608,0.74849,0.68375
55,0.89624,0.88643,0.88111,0.93932,0.90475,0.87756,0.96366,0.93365,0.93147,33.47289,34.81604,32.99252,0.81819,0.74107,0.67162
56,0.89546,0.88601,0.88032,0.93979,0.90668,0.88134,0.96353,0.93465,0.93252,33.49295,34.88556,33.20571,0.82148,0.74528,0.66871
57,0.89671,0.88546,0.88053,0.94015,0.90795,0.88459,0.96387,0.93522,0.93327,33.52781,34.93411,33.36127,0.82006,0.74085,0.67471
58,0.8963,0.88651,0.87998,0.93928,0.90479,0.8821,0.96343,0.93401,0.93266,33.47629,34.82072,33.22235,0.82065,0.74742,0.68177
59,0.8959,0.88582,0.87949,0.93933,0.90586,0.8838,0.96342,0.9346,0.93343,33.45504,34.86554,33.33615,0.8202,0.74015,0.67577
60,0.89621,0.88654,0.8819,0.93995,0.9081,0.88313,0.96375,0.9351,0.93336,33.47118,34.91359,33.26209,0.81654,0.73815,0.67999
61,0.89611,0.88514,0.87841,0.93921,0.90631,0.88469,0.96324,0.93445,0.93307,33.43906,34.87154,33.35074,0.81439,0.74087,0.67829
62,0.89559,0.88516,0.8804,0.93982,0.90627,0.88139,0.96352,0.93429,0.93215,33.5164,34.87733,33.20499,0.81931,0.73514,0.66555
63,0.89548,0.88561,0.88007,0.93958,0.90678,0.88358,0.96348,0.93456,0.9332,33.45634,34.86257,33.2989,0.81416,0.73457,0.67226
64,0.89619,0.88686,0.88146,0.94003,0.90825,0.88731,0.96381,0.93567,0.93379,33.44195,34.92192,33.46871,0.81757,0.74503,0.6787
65,0.89666,0.88672,0.8802,0.94031,0.90636,0.88515,0.96357,0.93475,0.93362,33.53696,34.86212,33.41025,0.82423,0.7482,0.68201
66,0.89665,0.88573,0.88087,0.94036,0.9078,0.8886,0.96398,0.93525,0.93409,33.50352,34.90169,33.56629,0.81782,0.74447,0.68864
67,0.89704,0.88669,0.88204,0.94038,0.90821,0.88708,0.96388,0.93561,0.93408,33.50256,34.92902,33.47033,0.82168,0.74356,0.67259
68,0.8965,0.88709,0.88055,0.94027,0.90773,0.88629,0.96351,0.93537,0.93394,33.52874,34.93258,33.4419,0.82124,0.74518,0.68166
69,0.89623,0.88621,0.8796,0.9402,0.90648,0.88314,0.96379,0.93466,0.93309,33.49532,34.87175,33.28143,0.8223,0.74627,0.67552
70,0.89673,0.8858,0.87971,0.94047,0.90653,0.88448,0.96398,0.93496,0.93341,33.57026,34.93562,33.34041,0.82404,0.75332,0.68859
71,0.89657,0.88668,0.88181,0.94009,0.90825,0.88765,0.96379,0.93535,0.93404,33.47746,34.95025,33.502,0.81996,0.74609,0.68379
72,0.89662,0.88581,0.88044,0.93971,0.90716,0.8841,0.96358,0.93485,0.93322,33.48387,34.89831,33.32832,0.82028,0.74071,0.67905
73,0.89628,0.88708,0.88191,0.94008,0.90793,0.88545,0.96373,0.93527,0.93398,33.48162,34.89549,33.35656,0.82163,0.75124,0.68136
74,0.89555,0.887,0.8813,0.94007,0.90929,0.89116,0.96321,0.93582,0.93379,33.44723,34.91024,33.6948,0.81393,0.73665,0.68394
75,0.89619,0.88674,0.88233,0.94001,0.90804,0.88512,0.96378,0.93523,0.93349,33.53484,34.95952,33.3883,0.82113,0.74892,0.68718
76,0.89607,0.88563,0.88049,0.94009,0.90717,0.88629,0.96365,0.93481,0.93321,33.48071,34.87827,33.41277,0.81575,0.74,0.67833
77,0.89624,0.88617,0.87945,0.94049,0.90772,0.88574,0.96386,0.93534,0.93368,33.54871,34.93891,33.43655,0.82308,0.74553,0.68834
78,0.89531,0.88614,0.88057,0.94005,0.9076,0.8876,0.96337,0.93497,0.93363,33.50273,34.91893,33.52247,0.81821,0.74639,0.68814
79,0.89692,0.88753,0.88138,0.93987,0.90658,0.88418,0.96364,0.93479,0.93294,33.51847,34.91117,33.30443,0.82176,0.75244,0.68602
80,0.89648,0.88644,0.87864,0.94023,0.90807,0.88846,0.96397,0.9358,0.93491,33.53189,34.92391,33.54962,0.81975,0.7509,0.69021
81,0.89526,0.88606,0.88037,0.93981,0.9078,0.88766,0.96341,0.93557,0.93389,33.44963,34.92598,33.49297,0.8175,0.74541,0.68081
82,0.89589,0.88631,0.87972,0.94019,0.90869,0.88669,0.96383,0.93585,0.93368,33.49373,34.9509,33.44991,0.81534,0.74462,0.67093
83,0.89658,0.88636,0.87931,0.94025,0.90735,0.88545,0.96368,0.93526,0.93366,33.53248,34.94613,33.41572,0.82198,0.74865,0.68278
84,0.89585,0.88633,0.87953,0.93998,0.90751,0.88401,0.96356,0.93488,0.93316,33.48152,34.89795,33.31661,0.81866,0.74173,0.66575
85,0.89578,0.8867,0.88098,0.9398,0.9078,0.88581,0.96374,0.93526,0.9339,33.49579,34.92429,33.38444,0.81996,0.74895,0.68038
86,0.89615,0.8861,0.87882,0.93999,0.90699,0.88595,0.96354,0.93487,0.9337,33.49921,34.89716,33.42269,0.82025,0.7448,0.67776
87,0.89558,0.88705,0.8813,0.93987,0.90765,0.88318,0.96346,0.93504,0.93304,33.4929,34.93193,33.24965,0.8201,0.74813,0.68186
88,0.897,0.88819,0.88195,0.94045,0.9088,0.88724,0.96379,0.93565,0.9342,33.55392,34.99128,33.46724,0.82281,0.74992,0.68521
89,0.89553,0.88633,0.882,0.93974,0.90893,0.88761,0.96357,0.9359,0.93387,33.40585,34.87025,33.47123,0.816,0.73405,0.67338
90,0.89607,0.88668,0.87937,0.94019,0.90837,0.8876,0.9637,0.93573,0.9341,33.48209,34.91613,33.48042,0.82004,0.74563,0.6737
91,0.89628,0.88633,0.87829,0.94032,0.90716,0.88487,0.96383,0.93537,0.93396,33.52144,34.90899,33.35258,0.82105,0.74788,0.67955
92,0.89603,0.88685,0.88051,0.94001,0.9077,0.88766,0.96376,0.93553,0.93404,33.52585,34.9264,33.49386,0.81978,0.74644,0.68273
93,0.89665,0.88745,0.88134,0.9403,0.90834,0.88598,0.96403,0.9358,0.93411,33.53506,34.94724,33.38885,0.81793,0.7476,0.68588
94,0.89624,0.88741,0.88135,0.93993,0.90694,0.88563,0.9637,0.9348,0.93372,33.48563,34.8775,33.38164,0.82652,0.75089,0.68355
95,0.89551,0.88664,0.88028,0.94024,0.90771,0.88743,0.9635,0.93522,0.93377,33.49816,34.90822,33.4681,0.82021,0.74694,0.69064
96,0.89551,0.88701,0.88015,0.93993,0.90815,0.88624,0.96344,0.9355,0.93352,33.47523,34.93346,33.42125,0.81734,0.74652,0.67988
97,0.89592,0.88743,0.88174,0.94,0.90872,0.89008,0.96368,0.93608,0.93462,33.45543,34.92885,33.59586,0.81794,0.7455,0.68935
98,0.89567,0.88699,0.88034,0.94001,0.90729,0.88722,0.96363,0.93524,0.93371,33.47413,34.89938,33.4818,0.8181,0.7442,0.68528
99,0.89647,0.8879,0.88074,0.94052,0.90868,0.8873,0.96396,0.93578,0.93416,33.50035,34.93758,33.44329,0.81999,0.7474,0.68015
100,0.89669,0.88726,0.88152,0.9406,0.90847,0.88914,0.96376,0.9354,0.93458,33.53005,34.92184,33.57084,0.82421,0.75593,0.68742
101,0.89583,0.88697,0.88061,0.94028,0.90836,0.88724,0.96346,0.93548,0.93407,33.49421,34.90798,33.45371,0.82178,0.74559,0.68523
102,0.89716,0.88699,0.88048,0.94072,0.9071,0.88671,0.96383,0.93512,0.93396,33.57002,34.89603,33.42664,0.82533,0.75403,0.68857
103,0.8963,0.88689,0.88065,0.94047,0.90877,0.88886,0.96366,0.93574,0.93426,33.50872,34.95266,33.54346,0.82285,0.74582,0.68058
104,0.89626,0.88608,0.87948,0.9404,0.90744,0.88823,0.96371,0.93534,0.934,33.53339,34.89817,33.55215,0.82263,0.75019,0.69344
105,0.89714,0.88771,0.88159,0.94084,0.90847,0.88937,0.96404,0.93577,0.93463,33.53387,34.95372,33.56596,0.82446,0.7503,0.68823
106,0.89636,0.88795,0.88053,0.94057,0.90947,0.88859,0.96382,0.93637,0.93454,33.48755,34.99684,33.51557,0.81903,0.7478,0.67533
107,0.8958,0.8877,0.88105,0.94015,0.90798,0.886,0.96347,0.93509,0.93322,33.51645,34.91089,33.41518,0.82464,0.7557,0.68846
108,0.89598,0.88651,0.87792,0.94038,0.90803,0.88638,0.96367,0.93533,0.93385,33.52068,34.93608,33.41942,0.8273,0.75524,0.67618
109,0.89603,0.88729,0.88028,0.94062,0.90895,0.88823,0.96396,0.93585,0.93378,33.55226,34.97889,33.51446,0.82325,0.75064,0.68125
110,0.89552,0.88747,0.88008,0.94016,0.90861,0.88586,0.9637,0.9358,0.93382,33.48696,34.95771,33.39641,0.81777,0.74552,0.67724
111,0.89652,0.88736,0.88165,0.94068,0.90861,0.88778,0.96401,0.9357,0.93419,33.50562,34.94854,33.4774,0.82187,0.7511,0.69251
112,0.89609,0.88567,0.87948,0.94027,0.90841,0.88927,0.9637,0.93593,0.93444,33.49078,34.91168,33.55675,0.81762,0.74425,0.68314
113,0.89626,0.88712,0.88097,0.94077,0.90874,0.88806,0.96384,0.93587,0.93441,33.52714,34.95717,33.50066,0.82603,0.75162,0.69092
114,0.89561,0.88652,0.88063,0.9405,0.9081,0.88836,0.96378,0.93562,0.93418,33.50544,34.91742,33.49407,0.81932,0.74657,0.68478
115,0.89669,0.88713,0.88045,0.94089,0.90863,0.88993,0.96398,0.93613,0.93502,33.53036,34.94463,33.58826,0.82312,0.7482,0.69221
116,0.8957,0.88709,0.88088,0.94025,0.90876,0.88858,0.96364,0.93549,0.93386,33.50105,34.9479,33.50301,0.82015,0.753,0.68951
117,0.89576,0.88695,0.88018,0.94026,0.90843,0.88828,0.96353,0.93549,0.9342,33.4774,34.93204,33.49721,0.82061,0.74598,0.67746
118,0.89637,0.88781,0.88129,0.94041,0.90924,0.88765,0.96372,0.93587,0.93387,33.51053,34.97126,33.44252,0.8224,0.75327,0.68137
119,0.89619,0.88676,0.88098,0.94038,0.90862,0.88846,0.96374,0.93547,0.93424,33.51178,34.93476,33.52326,0.82022,0.74925,0.68685
120,0.89627,0.88778,0.88103,0.94039,0.90912,0.88941,0.9637,0.93604,0.93455,33.48779,34.922,33.57661,0.8163,0.74667,0.68642
121,0.89574,0.88677,0.8784,0.93999,0.90825,0.88774,0.96357,0.93565,0.93386,33.50143,34.93133,33.50001,0.81898,0.744,0.67235
122,0.89579,0.88687,0.88044,0.94039,0.90897,0.89043,0.96373,0.93595,0.93449,33.48454,34.94439,33.59962,0.82192,0.7492,0.68563
123,0.89673,0.88596,0.88071,0.94076,0.90806,0.88824,0.96412,0.93564,0.93422,33.55211,34.92808,33.49677,0.82452,0.75409,0.69156
