patch size,t4,t5,t6
48,0.2950224878013728,0.25935161295477355,0.22740196269097654
45,0.2707781736601567,0.23757851481319925,0.20637936042354452
42,0.2453530199097872,0.21528419581295738,0.18523759931555434
39,0.21883254520690437,0.19262766851890759,0.16423563610626893
36,0.1914421394844645,0.16989203618662474,0.14373307408668
33,0.1636082990126231,0.14750455989920322,0.12415898316201707
30,0.1360497696323994,0.12604444170857107,0.1060169222888727
27,0.10988175452865014,0.10624053478175016,0.08989478893808887
24,0.08664890298376915,0.08887999601065165,0.076363615474729
21,0.0681631609585593,0.07467474670380389,0.06582267605773995
18,0.05600051674261146,0.06418848327703437,0.058413166443810664
15,0.05053292500264462,0.057855806219262625,0.05412049782639032
12,0.04951715933071334,0.0554767351718476,0.05264516693356681
9,0.049728003620552554,0.05506652123682112,0.05255194374528081
